name,gender,n_rallies,clutch,null_sd,z,p_one_tailed,value,fdr05,fdr10
Anna Leigh Waters,F,1695,0.0564,0.0071,7.9,1.44e-15,1.785,1,1
Ben Johns,M,1772,0.0658,0.0097,6.79,5.72e-12,1.103,1,1
Anna Bright,F,1909,0.0623,0.0093,6.7,1.03e-11,1.282,1,1
Gabriel Tardio,M,1821,0.0578,0.0106,5.45,2.47e-08,0.989,1,1
Christian Alshon,M,1400,0.0475,0.0113,4.2,1.36e-05,0.969,1,1
Jorja Johnson,F,1697,0.0426,0.0105,4.07,2.38e-05,1.156,1,1
JW Johnson,M,1480,0.0393,0.0118,3.33,4.29e-04,1.065,1,1
Andrei Daescu,M,1690,0.0294,0.0104,2.83,2.32e-03,0.954,0,1
Yuta Funemizu,M,757,0.0512,0.0188,2.73,3.20e-03,0.697,0,1
Rachel Rohrabacher,F,1445,0.0302,0.0111,2.71,3.36e-03,1.129,0,1
Federico Staksrud,M,1636,0.031,0.0117,2.66,3.96e-03,0.924,0,1
Ava Cavataio,F,512,0.0493,0.0214,2.31,1.05e-02,0.49,0,0
Max Freeman,M,650,0.0415,0.0184,2.26,1.20e-02,0.664,0,0
Meghan Dizon,F,832,0.0347,0.016,2.17,1.51e-02,0.848,0,0
Ewa Radzikowska,F,315,0.0545,0.0271,2.01,2.23e-02,0.862,0,0
Hayden Patriquin,M,1625,0.0188,0.0099,1.89,2.93e-02,1.012,0,0
Nicolas Acevedo,M,500,0.0389,0.0211,1.85,3.24e-02,0.957,0,0
Jack Sock,M,654,0.0361,0.0196,1.85,3.24e-02,0.844,0,0
Matt Wright,M,355,0.0447,0.0264,1.69,4.56e-02,0.549,0,0
Jackie Kawamoto,F,311,0.0407,0.0244,1.67,4.75e-02,1.131,0,0
Danni-Elle Townsend,F,372,0.0399,0.0257,1.55,6.03e-02,0.99,0,0
Juan Benitez,M,384,0.0385,0.0256,1.5,6.64e-02,0.68,0,0
Will Howells,M,442,0.0345,0.023,1.5,6.65e-02,0.8,0,0
Mark Dancuart,M,326,0.0396,0.0267,1.48,6.89e-02,0.55,0,0
Joel Poland,M,481,0.0291,0.0202,1.44,7.53e-02,0.66,0,0
Martin Emmrich,M,830,0.0242,0.0173,1.4,8.09e-02,0.646,0,0
Zoey Weil,F,692,0.026,0.0187,1.39,8.21e-02,0.699,0,0
Tina Pisnik,F,1279,0.0175,0.0128,1.37,8.60e-02,1.049,0,0
Kate Fahey,F,1254,0.0179,0.0137,1.31,9.51e-02,0.99,0,0
Parris Todd,F,1379,0.0149,0.0115,1.3,9.75e-02,1.12,0,0
Hunter Johnson,M,745,0.0225,0.0174,1.29,9.79e-02,0.734,0,0
Carlota Trevino,F,538,0.0237,0.0184,1.29,9.81e-02,0.689,0,0
Isabella Dunlap,F,1098,0.0199,0.0155,1.28,1.00e-01,0.756,0,0
Alix Truong,F,715,0.0245,0.02,1.22,1.11e-01,0.773,0,0
Daniel Traxler,M,353,0.0321,0.0268,1.2,1.16e-01,0.308,0,0
Freddie Powell,M,361,0.0271,0.0227,1.19,1.16e-01,0.433,0,0
Juan Varon,M,344,0.0287,0.0243,1.18,1.19e-01,0.505,0,0
Tyra Hurricane Black,F,1391,0.0138,0.0119,1.16,1.23e-01,1.073,0,0
Jonathan Truong,M,726,0.0202,0.0177,1.14,1.26e-01,0.7,0,0
Etta Tuionetoa,F,475,0.0248,0.0218,1.14,1.27e-01,0.804,0,0
Connor Garnett,M,923,0.0176,0.0157,1.12,1.31e-01,0.841,0,0
Pablo Tellez,M,777,0.0211,0.0188,1.12,1.31e-01,0.694,0,0
Lucy Kovalova,F,379,0.0275,0.0245,1.12,1.31e-01,0.716,0,0
Allie Reichert,F,352,0.0269,0.0273,0.99,1.62e-01,0.707,0,0
Rafael Lenhard,M,774,0.0157,0.0164,0.96,1.69e-01,0.627,0,0
Genie Erokhina,F,850,0.0154,0.017,0.91,1.82e-01,0.721,0,0
Brandon French,M,542,0.0162,0.0206,0.79,2.16e-01,0.552,0,0
Dekel Bar,M,738,0.0126,0.0168,0.75,2.26e-01,0.696,0,0
Samantha Buyckx,F,365,0.0154,0.0253,0.61,2.71e-01,0.577,0,0
Jade Kawamoto,F,524,0.011,0.019,0.58,2.82e-01,1.175,0,0
Jaume Martinez Vich,M,684,0.0104,0.0202,0.51,3.04e-01,0.718,0,0
Callie Smith,F,757,0.0083,0.0163,0.51,3.06e-01,0.69,0,0
Collin Johns,M,675,0.0104,0.0205,0.51,3.06e-01,0.607,0,0
Nicole Conard,F,736,0.0087,0.0179,0.48,3.14e-01,0.386,0,0
Allyce Jones,F,837,0.0077,0.0158,0.48,3.14e-01,0.743,0,0
Noe Khlif,M,1065,0.0069,0.0144,0.48,3.16e-01,0.804,0,0
Rio Newcombe,M,446,0.0105,0.0231,0.46,3.24e-01,0.409,0,0
Samantha Parker,F,551,0.0093,0.0213,0.44,3.30e-01,0.708,0,0
Cailyn Campbell,F,666,0.0082,0.0187,0.44,3.31e-01,0.636,0,0
Mihae Kwon,F,315,0.0122,0.0306,0.4,3.45e-01,0.322,0,0
Lauren Stratman,F,565,0.0074,0.0196,0.38,3.53e-01,0.61,0,0
Keilly Ulery,F,428,0.0088,0.0256,0.35,3.65e-01,0.251,0,0
John Lucian Goins,M,482,0.0075,0.0219,0.34,3.66e-01,0.666,0,0
Anderson Scarpa,M,591,0.0066,0.0193,0.34,3.67e-01,0.621,0,0
Lacy Schneemann,F,1114,0.0044,0.0134,0.33,3.70e-01,0.888,0,0
Austin Bricker,M,666,0.0059,0.0183,0.32,3.74e-01,0.458,0,0
Tyson McGuffin,M,526,0.0069,0.0218,0.32,3.75e-01,0.715,0,0
Estee Widdershoven,F,568,0.0064,0.0203,0.32,3.76e-01,0.737,0,0
Jessie Irvine,F,1037,0.0047,0.0152,0.31,3.78e-01,0.78,0,0
Mota Alhouni,M,313,0.0088,0.0287,0.31,3.80e-01,0.366,0,0
Lina Padegimaite,F,586,0.0065,0.0225,0.29,3.86e-01,0.482,0,0
Maddy Rasmusen,F,541,0.0061,0.0211,0.29,3.87e-01,0.378,0,0
Bret Berryman,M,318,0.0071,0.0265,0.27,3.95e-01,0.214,0,0
Christa Gecheva,F,694,0.005,0.02,0.25,4.01e-01,0.505,0,0
Brooke Buckner,F,669,0.0044,0.0182,0.24,4.05e-01,0.72,0,0
Mari Humberg,F,957,0.0036,0.0153,0.23,4.08e-01,1.002,0,0
Carlos Di Laura III,M,397,0.0048,0.023,0.21,4.18e-01,0.462,0,0
Julian Arnold,M,512,0.0039,0.0193,0.2,4.20e-01,0.625,0,0
Andrea Koop,F,311,0.0045,0.026,0.17,4.31e-01,0.555,0,0
James Delgado,M,641,0.0033,0.0191,0.17,4.32e-01,0.498,0,0
Nicholas Wade,M,321,0.0024,0.0287,0.08,4.66e-01,0.404,0,0
Angie Walker,F,471,0.002,0.0247,0.08,4.67e-01,0.534,0,0
Lingwei Kong,F,695,0.0013,0.0178,0.07,4.71e-01,0.527,0,0
Augustus Ge,M,1018,0.0006,0.0151,0.04,4.83e-01,0.688,0,0
Lyn Yuen Choo,F,321,0.001,0.0242,0.04,4.83e-01,0.465,0,0
Jackson Ayotte,M,369,0.0005,0.026,0.02,4.92e-01,0.331,0,0
Dylan Frazier,M,987,0.0002,0.0167,0.01,4.96e-01,0.708,0,0
Jay Devilliers,M,898,0.0001,0.0148,0.01,4.97e-01,0.891,0,0
Naomi Nguyen,F,426,0.0001,0.0242,0.01,4.98e-01,0.385,0,0
Riley Inn,M,326,-0.0003,0.0288,-0.01,5.05e-01,0.498,0,0
Milan Rane,F,922,-0.0008,0.0148,-0.05,5.21e-01,0.742,0,0
Mehvish Safdar,F,625,-0.0023,0.0219,-0.1,5.41e-01,0.332,0,0
Jace Morris,M,517,-0.0024,0.0222,-0.11,5.43e-01,0.489,0,0
Cason Campbell,M,454,-0.0026,0.022,-0.12,5.47e-01,0.392,0,0
Sydney Sonday,F,351,-0.0031,0.0255,-0.12,5.48e-01,0.332,0,0
Eric Roddy,M,308,-0.005,0.0305,-0.16,5.65e-01,0.365,0,0
Alex Walker,F,529,-0.0039,0.022,-0.18,5.70e-01,0.514,0,0
Martina Frantova,F,339,-0.0056,0.027,-0.21,5.82e-01,0.571,0,0
Natalia Simson,F,375,-0.0062,0.0249,-0.25,5.98e-01,0.007,0,0
Judit Castillo,F,675,-0.0058,0.02,-0.29,6.13e-01,0.717,0,0
Eduardo Santini Ayon,M,607,-0.007,0.0185,-0.38,6.48e-01,0.246,0,0
Clayton Powell,M,611,-0.0079,0.0196,-0.4,6.56e-01,0.539,0,0
Jake Anderson,M,450,-0.0098,0.0239,-0.41,6.59e-01,0.248,0,0
Armaan Bhatia,M,444,-0.0101,0.0247,-0.41,6.60e-01,0.752,0,0
Tama Shimabukuro,M,913,-0.0066,0.0155,-0.43,6.65e-01,0.725,0,0
Eli Steiner,M,606,-0.0082,0.0188,-0.44,6.69e-01,0.396,0,0
Matt Burkhardt,M,393,-0.011,0.0229,-0.48,6.85e-01,0.349,0,0
Rafa Hewett,M,741,-0.0088,0.0173,-0.51,6.93e-01,0.622,0,0
Sahra Dennehy,F,303,-0.0143,0.026,-0.55,7.09e-01,0.759,0,0
Ting Chieh Wei,F,754,-0.0106,0.0191,-0.55,7.10e-01,0.789,0,0
Jaeda Minniefield,F,563,-0.0122,0.0219,-0.56,7.12e-01,0.247,0,0
Chao Yi Wang,F,584,-0.0108,0.0185,-0.58,7.20e-01,0.749,0,0
Mike Radermacher,M,332,-0.0151,0.0254,-0.59,7.24e-01,0.29,0,0
Ivan Jakovljevic,M,710,-0.0114,0.019,-0.6,7.26e-01,0.531,0,0
Eric Oncins,M,1104,-0.009,0.0148,-0.61,7.29e-01,0.936,0,0
Alexa Schull,F,331,-0.019,0.0302,-0.63,7.35e-01,0.487,0,0
Ross Whittaker,M,305,-0.0182,0.0286,-0.64,7.38e-01,0.472,0,0
Catherine Parenteau,F,1305,-0.0082,0.0124,-0.66,7.45e-01,0.933,0,0
Jaikin Gomez,M,349,-0.0179,0.0265,-0.68,7.50e-01,0.192,0,0
Troy Akin,M,304,-0.0181,0.0267,-0.68,7.52e-01,0.463,0,0
Riley Newman,M,411,-0.0172,0.0252,-0.68,7.53e-01,0.882,0,0
Len Yang,M,488,-0.0157,0.0218,-0.72,7.64e-01,0.63,0,0
Ashley Griffith,F,667,-0.0155,0.0213,-0.73,7.67e-01,0.275,0,0
Chloe Diskin,F,354,-0.0204,0.0272,-0.75,7.73e-01,0.292,0,0
Zane Ford,M,407,-0.0202,0.0267,-0.76,7.76e-01,0.413,0,0
Ella Yeh,F,523,-0.0181,0.0236,-0.77,7.78e-01,0.427,0,0
Tamaryn Emmrich,F,585,-0.0167,0.0201,-0.83,7.98e-01,0.431,0,0
Liz Truluck,F,615,-0.018,0.021,-0.86,8.04e-01,0.652,0,0
Connor Mogle,M,660,-0.017,0.0193,-0.89,8.12e-01,0.725,0,0
Lea Jansen,F,967,-0.0138,0.0156,-0.89,8.12e-01,0.741,0,0
Edward Perez,M,372,-0.0232,0.026,-0.89,8.14e-01,0.221,0,0
Wyatt Stone,M,598,-0.021,0.0227,-0.92,8.22e-01,0.69,0,0
Kiora Kunimoto,F,620,-0.017,0.0177,-0.96,8.31e-01,0.575,0,0
Luc Pham,M,564,-0.0214,0.0221,-0.97,8.33e-01,0.442,0,0
Janet Liu,F,442,-0.0262,0.0259,-1.01,8.44e-01,0.276,0,0
Camden Chaffin,M,550,-0.0215,0.0204,-1.05,8.54e-01,0.536,0,0
Mya Bui,F,540,-0.0234,0.0217,-1.08,8.60e-01,0.459,0,0
Tom Protzek,M,615,-0.0219,0.0194,-1.13,8.70e-01,0.557,0,0
Abbigal Hatton,F,610,-0.0242,0.0211,-1.15,8.74e-01,0.434,0,0
Jade Rau,F,430,-0.024,0.021,-1.15,8.74e-01,0.188,0,0
Albie Huang,F,392,-0.0309,0.0269,-1.15,8.74e-01,0.341,0,0
Jalina Ingram,F,437,-0.0276,0.023,-1.2,8.85e-01,0.449,0,0
Michael Loyd,M,708,-0.0231,0.0188,-1.23,8.91e-01,0.642,0,0
Pesa Teoni,M,388,-0.0313,0.025,-1.25,8.95e-01,0.345,0,0
Christopher Haworth,M,392,-0.034,0.0269,-1.27,8.97e-01,0.55,0,0
Jada Bui,F,400,-0.0282,0.0222,-1.27,8.98e-01,0.411,0,0
Blaine Hovenier,M,825,-0.0212,0.0165,-1.29,9.01e-01,0.672,0,0
Kelly Goodnow,F,410,-0.0305,0.023,-1.33,9.08e-01,0.322,0,0
AJ Koller,M,472,-0.0326,0.0243,-1.34,9.10e-01,0.556,0,0
Allison Phillips,F,639,-0.0262,0.0196,-1.34,9.10e-01,0.617,0,0
Giovanna Morelli,F,538,-0.0337,0.0241,-1.4,9.19e-01,0.276,0,0
Anouar Braham,M,991,-0.0227,0.0159,-1.43,9.23e-01,0.494,0,0
Tyler Loong,M,846,-0.0221,0.0154,-1.44,9.25e-01,0.611,0,0
Andre Mercado,M,546,-0.0327,0.0226,-1.45,9.26e-01,0.252,0,0
Miles Hoover,M,626,-0.0285,0.019,-1.5,9.33e-01,0.384,0,0
Marcela Aguila Ampon,F,483,-0.041,0.0251,-1.63,9.48e-01,0.231,0,0
Mohaned Alhouni,M,711,-0.0334,0.0201,-1.66,9.52e-01,0.525,0,0
Lindsey Newman,F,722,-0.031,0.0186,-1.67,9.52e-01,0.565,0,0
CJ Klinger,M,1141,-0.024,0.0138,-1.74,9.59e-01,0.792,0,0
Luana Stanciu,F,448,-0.043,0.0245,-1.75,9.60e-01,0.103,0,0
Kaitlyn Christian,F,614,-0.033,0.0186,-1.78,9.62e-01,0.659,0,0
Darrian Young,M,601,-0.0348,0.0194,-1.8,9.64e-01,0.523,0,0
Marisa Ruiz,F,321,-0.0486,0.0269,-1.8,9.64e-01,0.512,0,0
Donald Young,M,450,-0.0421,0.0232,-1.81,9.65e-01,0.65,0,0
Paula Rives,F,765,-0.0348,0.0189,-1.84,9.67e-01,0.407,0,0
Will Mackinnon,M,634,-0.0339,0.0184,-1.84,9.67e-01,0.629,0,0
Elsie Hendershot,F,442,-0.0427,0.023,-1.86,9.68e-01,0.324,0,0
Gregory Dow,M,367,-0.0535,0.0288,-1.86,9.68e-01,0.453,0,0
Christopher Crouch,M,720,-0.0348,0.0184,-1.89,9.71e-01,0.463,0,0
Brooke Caruso,F,355,-0.05,0.0263,-1.9,9.72e-01,0.39,0,0
Zane Navratil,M,484,-0.0423,0.0221,-1.91,9.72e-01,0.612,0,0
Roscoe Bellamy,M,540,-0.0426,0.0203,-2.1,9.82e-01,0.664,0,0
Emma Nelson,F,329,-0.0632,0.0272,-2.32,9.90e-01,0.481,0,0
Pierina Imparato,F,364,-0.0676,0.0273,-2.47,9.93e-01,0.478,0,0
George Rangelov,M,443,-0.0706,0.0277,-2.55,9.95e-01,0.337,0,0
Yates Johnson,M,391,-0.0623,0.0239,-2.61,9.95e-01,0.391,0,0
Zach Gonnering,M,629,-0.058,0.0205,-2.83,9.98e-01,0.068,0,0
Braden Jacobson,M,312,-0.0808,0.0285,-2.84,9.98e-01,0.351,0,0
Olivia McMillan,F,394,-0.0794,0.0262,-3.03,9.99e-01,0.4,0,0
Adam Harvey,M,756,-0.0608,0.0172,-3.54,1.00e+00,0.504,0,0
Zoeya Khan,F,461,-0.0906,0.0248,-3.65,1.00e+00,0.327,0,0
Caden Nemoff,M,316,-0.1052,0.0287,-3.67,1.00e+00,0.105,0,0
